id,space_id
854,2195
855,2198
856,2198
857,2200
858,2200
859,2200
860,2200
861,2200
862,2207
863,2212
864,2217
865,2219
866,2219
867,2219
868,2219
869,2219
870,2220
871,2223
872,2226
873,2228
874,2230
875,2231
876,2237
877,2237
878,2238
879,2240
880,2244
881,2245
882,2247
883,2248
884,2329
885,2331
886,2330
887,2333
888,2334
889,2334
891,2335
890,2335
892,2337
893,2338
894,2338
895,2339
896,2339
897,2340
898,2341
899,2341
900,2341
901,2341
902,2341
903,2343
904,2343
905,2346
906,2347
907,2348
908,2352
909,2354
910,2357
1323,4305
1329,4310
911,2358
912,2363
913,2363
915,2365
914,2365
916,2368
1330,4310
1334,4314
1335,4314
1336,4314
1337,4314
1338,4314
1342,4318
917,2368
918,2368
919,2368
920,2368
921,2373
922,2373
923,2375
924,2378
925,2379
926,2384
927,2385
928,2386
929,2389
930,2391
931,2396
1324,4306
1325,4306
934,2548
935,2549
936,2555
937,2556
938,2558
939,2558
940,2560
941,2560
942,2562
943,2563
944,2564
945,2565
946,2566
947,2567
948,2569
949,2570
950,2572
951,2594
952,2596
953,2596
954,2597
955,2597
956,2598
957,2598
958,2598
959,2598
960,2598
961,2600
962,2601
963,2604
964,2605
965,2605
966,2605
967,2605
968,2605
969,2606
970,2607
971,2611
972,2612
973,2616
974,2617
975,2624
976,2625
980,2628
981,2629
982,2675
983,2676
984,2677
985,2679
986,2679
987,2680
988,2682
989,2687
990,2688
991,2690
992,2691
993,2852
994,2854
995,2853
996,2856
997,2857
998,2857
1000,2858
999,2858
1001,2859
1002,2860
1003,2860
1004,2861
1005,2861
1006,2862
1007,2863
1008,2863
1009,2863
1010,2863
1011,2863
1012,2864
1013,2864
1014,2865
1015,2866
1016,2867
1017,2869
1018,2870
1019,2871
1082,3009
1083,3022
1020,2872
1021,2874
1022,2874
1024,2876
1023,2876
1025,2877
1026,2877
1027,2877
1028,2877
1029,2877
1030,2879
1031,2879
1032,2880
1033,2881
1034,2882
1035,2884
1036,2885
1037,2886
1038,2887
1039,2888
1040,2891
1043,2895
1044,2897
1045,2897
1046,2898
1047,2898
1048,2899
1049,2899
1050,2899
1051,2899
1052,2899
1053,2901
1054,2902
1055,2904
1056,2905
1057,2905
1058,2905
1059,2905
1060,2905
1061,2907
1062,2910
1063,2915
1064,2917
1065,2922
1066,2924
1067,2944
1068,2946
1072,2952
1073,2954
1074,2985
1075,2987
1076,2991
1077,2999
1078,2999
1079,3002
1080,3004
1081,3008
1084,3025
1085,3026
1086,3028
1087,3030
1088,3032
1089,3033
1090,3033
